,snapped_at,price,market_cap,total_volume,ma100,ma30,ma20,daily_return,volatility,rsi
2208,2019-05-17 00:00:00,7875.913199526066,139525363820.16046,35026947533.93092,4670.524450338443,5950.319402388528,6261.337512522778,-0.03861100144135121,946.7068831617751,81.55176479539458
2209,2019-05-18 00:00:00,7343.371457162994,130123159718.19748,33030146385.78164,4709.899796297505,6021.133212614476,6365.657195257225,-0.06761650730166979,969.2981671477586,69.68118010070893
2210,2019-05-19 00:00:00,7300.655158341227,129270047519.99455,22478772524.431957,4748.966201351331,6088.662817447967,6467.799790712661,-0.005816987343068458,985.9344534509459,68.40865325395893
2211,2019-05-20 00:00:00,8168.730689783752,144597541605.24557,30747684364.455803,4794.010687222578,6184.942025627993,6616.248574773676,0.11890378501862542,1043.6204389671611,74.79563122254002
2212,2019-05-21 00:00:00,7976.851712899625,141109768386.16797,28621475467.769623,4837.105121708675,6273.914109943408,6750.450961690554,-0.02348944825958088,1079.416378433007,72.44481697280149
2213,2019-05-22 00:00:00,7958.365526075088,141016653223.21735,25314342979.04727,4879.931860678178,6362.154132802603,6880.639897985611,-0.002317479061901384,1105.8769837263567,71.47288839970868
2214,2019-05-23 00:00:00,7665.79685383355,135913068220.78972,24589881451.39529,4920.275383819214,6438.316168277868,6991.394409652967,-0.036762406964464645,1114.6149548319397,66.72495414612386
2215,2019-05-24 00:00:00,7861.812792465447,139495233992.3291,25345060242.591587,4962.553861276408,6515.1124037730215,7097.91039429591,0.025570197380572646,1131.1110480253317,66.63086948586721
2216,2019-05-25 00:00:00,7977.244882467973,141356836449.39377,27368459147.198563,5006.225687370454,6599.2838414088055,7206.575472966889,0.01468263020879279,1143.1693497044953,66.05394638795623
2217,2019-05-26 00:00:00,8037.627431860584,142301375408.95212,23978335158.484917,5050.705343392797,6693.768469179801,7320.9906555369,0.007569348851922175,1140.9297400921612,59.32838724318139
2218,2019-05-27 00:00:00,8631.080577844017,152778982387.80127,29224396883.37161,5101.003857257268,6804.942911106327,7466.756827630797,0.0738343685390328,1162.3119270042505,68.77747646629675
2219,2019-05-28 00:00:00,8816.03391493351,156351517828.83902,33136840741.2636,5152.9382798758525,6923.578114854976,7615.5058348137845,0.02142875801255628,1180.35884600771,63.2934641186164
2220,2019-05-29 00:00:00,8726.978110456395,154706420284.54605,27335990651.150314,5203.557305672409,7039.217276895773,7753.961903693684,-0.010101572355145194,1181.4724349577036,59.94755719179405
2221,2019-05-30 00:00:00,8650.677405968292,153190671229.78632,28214892246.82482,5251.19887772734,7154.248023475933,7878.0823241721855,-0.008743084206511598,1164.069207173404,56.406265624445474
2222,2019-05-31 00:00:00,8310.891063057417,147528939419.42154,33295240431.3568,5295.157688645144,7254.850926425778,7975.115189394664,-0.03927858212311197,1127.4915292121216,56.03859601866457
2223,2019-06-01 00:00:00,8575.646353354166,152037344606.20877,30329343188.810726,5341.146063113395,7362.219578198452,8040.984443029612,0.031856426499633494,1093.137422248433,68.48119859273972
2224,2019-06-02 00:00:00,8554.261728092017,151754429106.1446,26683797989.859898,5387.340544455368,7465.671415118638,8121.0099600048925,-0.0024936458875528533,1052.0840977995094,68.92219653930802
2225,2019-06-03 00:00:00,8743.705469134235,155008799790.32507,25133975363.261288,5435.0411859189635,7566.078494102895,8167.896150987135,0.02214612400975402,1024.2423050532382,60.914904622781975
2226,2019-06-04 00:00:00,8173.632761796738,145118113641.65356,24486741553.27431,5475.6241342690555,7645.068142527837,8177.075011400256,-0.0651980684104565,973.7931084769634,53.26651884045734
2227,2019-06-05 00:00:00,7683.636261419786,136045887609.96284,25442100899.74761,5515.031807416249,7709.545225226487,8151.645667523645,-0.059948435983957826,905.5925762970186,46.05682124325504
2228,2019-06-06 00:00:00,7812.44885473215,138590833268.1022,24641673547.477318,5554.909460921398,7779.4349491853545,8148.472450283948,0.016764535557096005,823.6106487170055,52.208717342638145
2229,2019-06-07 00:00:00,7821.123897094859,138816674700.54028,24560046377.825275,5595.028602145528,7845.437286712725,8172.360072280542,0.001110412691848195,737.7839053881726,49.35053731440832
2230,2019-06-08 00:00:00,8036.108159122215,142810130543.30536,23629265497.41496,5637.255904817936,7914.712334254853,8209.132722319591,0.027487643062042766,646.3385391461658,50.91061641386362
2231,2019-06-09 00:00:00,7942.539284064289,140990840427.82074,19829877310.70781,5678.525221583329,7973.854677177053,8197.823152033618,-0.011643555960818008,555.8661217317749,48.543934576829884
2232,2019-06-10 00:00:00,7668.029627860183,136055336062.27316,20152037017.9227,5717.047978462704,8017.114539485464,8182.382047781645,-0.03456195133398654,470.74459189280117,33.656601173995114
2233,2019-06-11 00:00:00,8002.729982894047,141925422733.43433,21741587787.86512,5758.8788209858185,8041.9301628934245,8184.600270622594,0.04364880826983253,448.45665785156865,36.86544384928396
2234,2019-06-12 00:00:00,7897.975476598364,140220553937.84616,21017248550.29671,5799.789033013823,8073.404299160492,8196.209201760834,-0.01308984640486388,399.96375328926166,36.67945830971424
2235,2019-06-13 00:00:00,8145.05909812096,144409895371.7695,22181532883.49916,5844.111499422054,8084.706880781543,8210.37151704361,0.03128442500925743,396.9255207010288,42.298340036844294
2236,2019-06-14 00:00:00,8227.625725590904,145982200973.5864,22919390183.839664,5887.863140020108,8092.625886516763,8222.890559199757,0.010137020060295487,397.3416754063339,48.62385373062507
2237,2019-06-15 00:00:00,8671.505388660793,154448670610.87314,23291543613.42556,5935.973086282909,8108.601961507055,8254.584457039768,0.053949909472578605,410.88871803201,51.4957254839819
2238,2019-06-16 00:00:00,8818.609506932296,156571955413.46933,21892878336.78525,5985.442808872572,8140.0251717539295,8263.96090349418,0.016964080823136385,428.1637106301035,53.96900437962751
2239,2019-06-17 00:00:00,8978.77258780693,159990740760.34872,27305637341.28109,6036.61174167668,8194.538542775394,8272.097837137851,0.018161942735839487,427.34503496129247,53.56068254845656
2240,2019-06-18 00:00:00,9312.868294808708,165478791606.02725,27464356714.40349,6090.32441589205,8261.612313990978,8301.392346355467,0.037209507617497195,439.9356063397037,68.58523176801494
2241,2019-06-19 00:00:00,9094.021746079216,161689176435.31613,25029522786.9119,6142.029035464778,8292.455349200825,8323.559563361014,-0.023499371171337713,464.92477982351676,75.24184665566193
2242,2019-06-20 00:00:00,9285.928674251472,164856060873.05832,22298101529.460796,6196.284729907005,8336.091247912553,8372.311443920717,0.02110253675773266,494.75724868184597,75.7886395347648
2243,2019-06-21 00:00:00,9548.31456526146,169961289184.54773,24707058599.119995,6253.003067032073,8389.089549218765,8420.944854516081,0.028256289727654815,536.3124851633353,77.76343020684631
2244,2019-06-22 00:00:00,10118.359455626854,179686819951.0701,28580960082.617817,6315.528483761707,8470.84163594521,8499.149740892823,0.059701100803624785,604.8089281066323,80.04162347561777
2245,2019-06-23 00:00:00,10704.922148115673,190271555704.10333,40190146696.56423,6383.810718162535,8565.611947800217,8597.210574841894,0.05797013785299243,718.2060646668725,84.89086890378229
2246,2019-06-24 00:00:00,10846.12509964766,193006026351.0637,29108428088.363773,6453.017363361965,8661.241288372872,8730.83519173444,0.013190469727689003,820.8278810137182,91.54049984080706
2247,2019-06-25 00:00:00,11045.550419814825,196224565118.84543,27529761440.98961,6523.395772921926,8761.505387971349,8898.930899654193,0.01838678037870345,919.7721419372116,91.23037729699523
2248,2019-06-26 00:00:00,11808.41990407586,209906767119.21564,33544426408.459377,6601.670070915364,8867.416698845742,9098.729452121379,0.06906577357091304,1074.2054684284644,94.9668899045991
2249,2019-06-27 00:00:00,12996.124342788677,231104555834.96545,56948964491.46552,6691.76424540279,9006.753046440916,9357.47947440607,0.10058114873632351,1312.0759065179518,95.86204294897901
2250,2019-06-28 00:00:00,11178.6829981865,198805331511.7231,49628524363.00495,6763.415305691198,9088.476542698585,9514.608216359284,-0.13984487195297146,1369.1602782016246,71.00805414873824
